Table 1
University,Specialty
Карагандинский технический университет имени Абылкаса Сагинова,7M07204 Металлургия (2)
Рудненский индустриальный университет,7M07204 Металлургия 2 года
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07204 Металлургия и обогащение полезных ископаемых
Карагандинский индустриальный университет,7M07204 Металлургия черных и цветных металлов
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07204 Разработка и эксплуатация месторождений природных углеводородов
Международный инженерно-технологический университет,7M07204 Технология и инжиниринг пищевых производств
Алматинский технологический университет,7M07204 Технология и конструирование изделий легкой промышленности
Университет имени Шакарима города Семей,7M07204 Технология продовольственных продуктов (по областям применения) (1 год)
Каспийский общественный университет,7M07204 Цифровой нефтегазовый инжиниринг
Таразский  региональный университет имени М.Х.Дулати,7M07205 Горная инженерия
Жезказганский университет им. О.А.Байконурова,7M07205 Горное дело
Рудненский индустриальный университет,"7M07205 Горное дело 1,5 года"
Карагандинский технический университет имени Абылкаса Сагинова,7M07205 Маркшейдерское дело
Алматинский технологический университет,7M07205 Технология и проектирование текстильных материалов
Университет имени Шакарима города Семей,7M07205 Технология перерабатывающих производств (по отраслям) (1 год)
Алматинский технологический университет,7M07206 Безопасность непродовольственных товаров и изделий
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07206 Геология и разведка месторождений твердых полезных ископаемых
Рудненский индустриальный университет,7M07206 Горное дело 1 год
Карагандинский технический университет имени Абылкаса Сагинова,7M07206 Обогащение полезных ископаемых 2
Университет имени Шакарима города Семей,7M07206 Пищевая безопасность (1 год)
Карагандинский индустриальный университет,7M07206 Технология фармацевтического производства
Жезказганский университет им. О.А.Байконурова,7M07207 Геология и разведка месторождений полезных ископаемых (2 года)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07207 Геология нефти и газа
Рудненский индустриальный университет,"7M07207 Металлургия 1,5 года"
Казахский национальный аграрный исследовательский университет,7M07207 Технология продовольственных продуктов (по отраслям)
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M07208 Геология и разведка месторождений полезных ископаемых
Жезказганский университет им. О.А.Байконурова,"7M07208 Геология и разведка месторождений полезных ископаемых (1,5 года)"
Рудненский индустриальный университет,7M07208 Металлургия 1 год
Казахский национальный аграрный исследовательский университет,7M07208 Технология перерабатывающих производств (по отраслям)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07210 Геопространственная цифровая инженерия
Актюбинский региональный университет имени К.Жубанова,7M07210 Нефтегазовое дело
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M07210 Нефтегазовое дело
Южно-Казахстанский университет им. М.Ауэзова,7M07210 Нефтегазовое дело
Казахский национальный аграрный исследовательский университет,7M07210 Пищевая безопасность
Рудненский индустриальный университет,7M07210 Технология обработки металлов давлением
Таразский  региональный университет имени М.Х.Дулати,7M07211 Инновационный текстиль
Международная образовательная корпорация,7M07211 Технология деревообработки и изделий из дерева (по областям применения) (научное и педагогическое направление)
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07211 Технология перерабатывающих производств
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M07212 Морская нефтегазовая инженерия
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07212 Нефтегазовое дело-1
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07212 Нефтяная инженерия
Южно-Казахстанский университет им. М.Ауэзова,7M07212 Управление разработкой и эксплуатацией нефтяных и газовых месторождений
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07213 Нефтяная инженерия
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07213 Пищевая безопасность
Таразский  региональный университет имени М.Х.Дулати,7M07215 Индустрия изделий из кожи
Казахский национальный аграрный исследовательский университет,7M07216 Технология продовольственных продуктов (по отраслям) (1г. профильное)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07218 Геология и разведка месторождений твердых полезных ископаемых
Казахский национальный аграрный исследовательский университет,7M07218 Технология перерабатывающих производств (по отраслям) (1 г. проф)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07219 Геология и разведка месторождений твердых полезных ископаемых
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07220 Геология нефти и газа
Казахский национальный аграрный исследовательский университет,7M07220 Пищевая безопасность (1г. профильное)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07221 Геология нефти и газа
Каспийский общественный университет,7M07221 Цифровой нефтегазовый инжиниринг
Южно-Казахстанский университет им. М.Ауэзова,7M07222 Металлургия
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07223 Металлургия и обогащение полезных ископаемых
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07225 Аддитивное производство
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07226 Обогащение полезных ископаемых
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07227 Маркшейдерское дело
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07228 Прогрессивные технологии обработки материалов
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07229 Экстрактивная металлургия
Южно-Казахстанский университет им. М.Ауэзова,7M07230 Технология и конструирование изделий легкой промышленности
Казахский университет технологии и бизнеса,7M07239 Технология продовольственных продуктов (по отраслям)
Южно-Казахстанский университет им. М.Ауэзова,7M07240 Технология молока и молочных продуктов
Казахский университет технологии и бизнеса,7M07241 Пищевая безопасность
Казахский университет технологии и бизнеса,7M07242 Технология и конструирование изделий легкой промышленности
Каспийский общественный университет,7M07243 Нефтяная инженерия
Южно-Казахстанский университет им. М.Ауэзова,7M07243 Технология продовольственных продуктов
Каспийский общественный университет,7M07244 Нефтяная инженерия
Каспийский общественный университет,7M07245 Геология и разведка природных ресурсов
Каспийский общественный университет,7M07246 Геология и разведка природных ресурсов
Казахский университет технологии и бизнеса,7M07248 Нефтегазовое дело
Казахский университет технологии и бизнеса,7M07249 Технология продовольственных продуктов (по отраслям)
Южно-Казахстанский университет им. М.Ауэзова,7M07250 Технология перерабатывающих производств
Казахский университет технологии и бизнеса,7M07251 Пищевая безопасность
Южно-Казахстанский университет им. М.Ауэзова,7M07253 Безопасные технологии переработки сельскохозяйственной продукции
Казахский университет технологии и бизнеса,7M07253 Нефтегазовое дело
Южно-Казахстанский университет им. М.Ауэзова,7M07255 Технология продуктов животного происхождения
Южно-Казахстанский университет им. М.Ауэзова,7M07260 Технология и проектирование текстильных материалов
Южно-Казахстанский университет им. М.Ауэзова,7M07270 Технология фармацевтических производств
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07300 Строительная инженерия
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M07301 Архитектура
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M07301 Архитектура (2 г.)
Таразский  региональный университет имени М.Х.Дулати,7M07301 Архитектура и современная городская инфраструктура
Казахский национальный университет им.аль-Фараби,7M07301 Геодезия
Карагандинский технический университет имени Абылкаса Сагинова,7M07301 Геодезия (2)
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07301 Производство строительных материалов
Торайгыров университет,7M07301 Строительство
Кызылординский университет имени Коркыт Ата,7M07301 Строительство (профильная)
Карагандинский индустриальный университет,7M07301 Теория и технология проектирования зданий и сооружений
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07302 Архитектура и градостроительство
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M07302 Геодезия
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M07302 Геодезия
Казахский национальный университет им.аль-Фараби,7M07302 Геоинформатика
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07302 Землеустройство
Торайгыров университет,"7M07302 Производство строительных материалов, изделий и конструкций"
Кызылординский университет имени Коркыт Ата,"7M07302 Производство строительных материалов, изделий и конструкций (проф)"
Карагандинский технический университет имени Абылкаса Сагинова,7M07302 Строительство
Карагандинский технический университет имени Абылкаса Сагинова,7M07302 Строительство
Карагандинский индустриальный университет,7M07302 Теория и технология проектирования зданий и сооружений
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M07303 Кадастр (2 г.)
Казахский национальный университет им.аль-Фараби,7M07303 Картография
Карагандинский технический университет имени Абылкаса Сагинова,"7M07303 Производство строительных материалов, изделий и конструкций (2)"
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M07303 Строительный Инжиниринг
Рудненский индустриальный университет,7M07303 Строительство
Рудненский индустриальный университет,7M07303 Строительство 1
Рудненский индустриальный университет,"7M07303 Строительство 1,5"
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07303 Строительство и производство строительных материалов и конструкций
Торайгыров университет,7M07303 Транспортное строительство
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M07304 Автомобильные дороги
Казахский национальный университет им.аль-Фараби,7M07304 Землеустройство
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07304 Инженерные системы и сети
Торайгыров университет,7M07304 Инженерные системы и сети
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M07304 Строительный Инжиниринг (профильный)
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M07304 Управление земельными ресурсами (2 г.)
Казахский национальный университет им.аль-Фараби,7M07305 Кадастр
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M07305 Строительство
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07306 Геопространственная цифровая инженерия
Казахский национальный университет им.аль-Фараби,7M07307 Big Data  в геодезии
Казахский национальный аграрный исследовательский университет,7M07308 Землеустройство
Казахский автомобильно-дорожный институт им. Л. Б. Гончарова,7M07308 Строительство
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07308 Строительство и производство строительных материалов и конструкций
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M07308 Точное земледелие
Казахский национальный аграрный исследовательский университет,7M07309 Кадастр
Южно-Казахстанский университет им. М.Ауэзова,7M07310 Архитектура
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M07310 Водоснабжение и канализация
Казахский национальный аграрный исследовательский университет,7M07310 Землеустройство (1г. профильное)
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07310 Строительная инженерия
Евразийский национальный университет им. Л.Н.Гумилева,7M07311 Геодезия
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07311 Инженерные системы и сети
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07311 Производство строительных материалов-1
Международный транспортно-гуманитарный университет,7M07311 Строительство
Таразский  региональный университет имени М.Х.Дулати,7M07311 Управление земельными ресурсами
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M07312 Земельный кадастр и землеустройство
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M07312 Землеустройство
Таразский  региональный университет имени М.Х.Дулати,7M07312 Инновационные технологии и исследования в строительстве
Казахский национальный аграрный исследовательский университет,7M07312 Кадастр  (1г. профильное)
Евразийский национальный университет им. Л.Н.Гумилева,7M07312 Организация управления пространственным развитием (EMBA)
Международный транспортно-гуманитарный университет,7M07312 Строительство
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M07313 Ландшафтная архитектура и дизайн
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M07313 Строительство
Международный транспортно-гуманитарный университет,7M07313 Транспортное строительство
Казахский автомобильно-дорожный институт им. Л. Б. Гончарова,7M07314 Строительство автомобильных дорог и аэродромов
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M07314 Технология геодезических и кадастровых работ
Международный транспортно-гуманитарный университет,7M07314 Транспортное строительство
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07318 Строительство и производство строительных материалов и конструкций
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07319 Строительство и производство строительных материалов и конструкций
Евразийский национальный университет им. Л.Н.Гумилева,7M07320 Архитектура
Южно-Казахстанский университет им. М.Ауэзова,7M07320 Строительство
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07320 Транспортное строительство
Международная образовательная корпорация,7M07321 Строительство (научное и педагогическое направление)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07321 Транспортное строительство
Международная образовательная корпорация,7M07322 Инженерные системы и сети (научное и педагогическое направление)
Южно-Казахстанский университет им. М.Ауэзова,7M07322 Строительство
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07322 Транспортное строительство
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07323 Управление развитием городов и территорий
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07324 Землеустройство
Международная образовательная корпорация,7M07324 Экономика и менеджмент в строительстве (научное и педагогическое направление)
Международная образовательная корпорация,7M07325 Инженерные системы и сети  (профильное направление)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,"7M07325 Производство строительных материалов, изделий и конструкций"
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,"7M07326 Производство строительных материалов, изделий и конструкций"
Международная образовательная корпорация,7M07326 Экономика и менеджмент в строительстве  (профильное направление)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,"7M07327 Производство строительных материалов, изделий и конструкций"
Евразийский национальный университет им. Л.Н.Гумилева,7M07329 Строительство
Южно-Казахстанский университет им. М.Ауэзова,7M07330 Водоснабжение городов и промышленности
Южно-Казахстанский университет им. М.Ауэзова,"7M07340 Производство строительных материалов, изделий и конструкций"
Южно-Казахстанский университет им. М.Ауэзова,"7M07342 Производство строительных материалов, изделий и конструкций"
Академия логистики и транспорта,"7M07345 Транспортное строительство (профильная, 1,5 года)"
Академия логистики и транспорта,"7M07346 Транспортное строительство (научная и педагогическая, 2 года)"
Южно-Казахстанский университет им. М.Ауэзова,7M07350 Геопространственная цифровая инженерия
Торайгыров университет,7M07351 Строительство
Евразийский национальный университет им. Л.Н.Гумилева,7M07352 Инженерные системы и сети
Евразийский национальный университет им. Л.Н.Гумилева,"7M07361 Производство строительных материалов, изделий и конструкций"
Международная образовательная корпорация,"7M07361 Производство строительных материалов, изделий и конструкций (научное и педагогическое направление)"
Кызылординский университет имени Коркыт Ата,7M07365 Строительство
Кызылординский университет имени Коркыт Ата,"7M07366 Производство строительных материалов, изделий и конструкций"
Международная образовательная корпорация,7M07371 Геодезия  (научное и педагогическое направление)
Таразский  региональный университет имени М.Х.Дулати,7M07402 Гидротехническое строительство и сооружения (1 год)
Таразский  региональный университет имени М.Х.Дулати,7M07403 Водоснабжение и водоотведение населенных пунктов
Таразский  региональный университет имени М.Х.Дулати,7M07404 Управление водными ресурсами
Таразский  региональный университет имени М.Х.Дулати,7M07411 Гидротехническое строительство и сооружения
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M07501 Стандартизация и сертификация
Карагандинский университет Казпотребсоюза,7M07501 Стандартизация и сертификация
Северо-Казахстанский университет им.М.Козыбаева,7M07501 Стандартизация и сертификация (по отраслям)
Казахский национальный аграрный исследовательский университет,7M07501 Стандартизация и сертификация (по отраслям)
Торайгыров университет,7M07501 Стандартизация и сертификация (по отраслям)
Международный Таразский инновационный институт имени Шерхана Муртазы,7M07501 Стандартизация и сертификация (по отраслям)
Казахский национальный университет им.аль-Фараби,7M07501 Стандартизация и сертификация (по отраслям)
Университет имени Шакарима города Семей,7M07501 Стандартизация и сертификация (по отраслям)
Карагандинский технический университет имени Абылкаса Сагинова,7M07501 Стандартизация и сертификация(по отраслям)
Алматинский технологический университет,"7M07501 Стандартизация, метрология и сертификация (по пищевой отрасли)"
Алматинский технологический университет,7M07502 Метрология
Торайгыров университет,7M07502 Метрология
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M07502 Метрология (по отраслям)
Карагандинский университет Казпотребсоюза,7M07502 Стандартизация и сертификация
Казахский национальный университет им.аль-Фараби,7M07502 Стандартизация и сертификация (ИТМО)
Университет имени Шакарима города Семей,7M07502 Стандартизация и сертификация (по отраслям) (1 год)
Северо-Казахстанский университет им.М.Козыбаева,"7M07502 Стандартизация, сертификация и метрология (по отраслям)"
Казахский национальный университет им.аль-Фараби,7M07503 Метрология
Казахский национальный аграрный исследовательский университет,7M07503 Стандартизация и сертификация (по отраслям) (1г. профильное)
Северо-Казахстанский университет им.М.Козыбаева,7M07504 Стандартизация и сертификация (по отраслям)
Северо-Казахстанский университет им.М.Козыбаева,7M07505 Стандартизация и сертификация (по отраслям)
Южно-Казахстанский университет им. М.Ауэзова,7M07510 Стандартизация и сертификация  (по отраслям)
Южно-Казахстанский университет им. М.Ауэзова,7M07513 Метрология
Таразский  региональный университет имени М.Х.Дулати,7M07513 Стандартизация и управления качеством в промышленности (2 года)
Таразский  региональный университет имени М.Х.Дулати,7M07514 Метрология и метрологическое обеспечение в промышленности (2 года)
Евразийский национальный университет им. Л.Н.Гумилева,7M07532 Стандартизация и сертификация (по отраслям)
Евразийский национальный университет им. Л.Н.Гумилева,7M07550 Метрология (по отраслям)
Евразийский национальный университет им. Л.Н.Гумилева,7M07551 Метрологическое обеспечение инновационных технологий (по отраслям)
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M08100 Агрономия
Северо-Казахстанский университет им.М.Козыбаева,7M08101 Агрономия
Казахский национальный аграрный исследовательский университет,7M08101 Агрономия
Торайгыров университет,7M08101 Агрономия
Университет имени Шакарима города Семей,7M08101 Агрономия
Кокшетауский университет имени Ш. Уалиханова,7M08101 Агрономия
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M08101 Агрономия
Кызылординский университет имени Коркыт Ата,7M08101 Агрономия (профильная)
Международный инженерно-технологический университет,7M08101 Плодоовощеводство
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M08101 Почвоведение и агрохимия
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M08101 Селекция полевых культур
Северо-Казахстанский университет им.М.Козыбаева,7M08102 Агрономия
Университет имени Шакарима города Семей,7M08102 Агрономия (1 год)
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M08102 Агротехнология
Международный инженерно-технологический университет,7M08102 Плодоовощеводство и агропочвоведение
Казахский национальный аграрный исследовательский университет,7M08102 Почвоведение и агрохимия
Кокшетауский университет имени Ш. Уалиханова,7M08102 Почвоведение и агрохимия
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M08102 Фитосанитарная безопасность
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M08103 Агрономия
Казахский национальный аграрный исследовательский университет,7M08103 Плодоовощеводство
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M08103 Селекция и семеноводства сельскохозяйственных культур
Казахский национальный аграрный исследовательский университет,7M08104 Защита и карантин растений
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M08104 Фитосанитарный мониторинг
Казахский национальный аграрный исследовательский университет,7M08105 Агрономия (1г. проф)
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M08107 Агропочвоведение и питание растений
Казахский национальный аграрный исследовательский университет,7M08107 Почвоведение и агрохимия (профильное 1)
Казахский национальный аграрный исследовательский университет,7M08109 Плодоовощеводство (1 г. проф)
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M08110 Агрономия-1
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M08110 Фитосанитарный контроль в декоративном растениеводстве
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M08111 Агробиотехнология
Казахский национальный аграрный исследовательский университет,7M08111 Защита и карантин растений(1г.проф.)
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M08111 Почвоведение и агрохимия
Казахский национальный аграрный исследовательский университет,7M08112 Селекция и семеноводство сельскохозяйственных культур
Кызылординский университет имени Коркыт Ата,7M08172 Растениеводство
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M08200 Технология производства продуктов животноводства
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M08201 Корма и кормление с/х животных
Северо-Казахстанский университет им.М.Козыбаева,7M08201 Технология производства продуктов животноводства
Казахский национальный аграрный исследовательский университет,7M08201 Технология производства продуктов животноводства
Университет имени Шакарима города Семей,7M08201 Технология производства продуктов животноводства
Торайгыров университет,7M08201 Технология производства продуктов животноводства
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M08201 Технология производства продуктов животноводства
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M08202 Селекция и воспроизводство с/х животных (2 г.)
